Temp = 0 °C, Humidity = 0 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 0 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 0 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 0 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 0 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 0 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 0 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 0 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 0 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 0 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 0 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 0 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 0 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 0 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 0 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 0 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 0 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 0 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 0 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 0 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 0 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 0 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 0 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 0 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 0 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 0 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 0 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 0 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 20 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 20 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 59 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 59 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 45 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 45 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 39 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 39 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 26 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 26 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 51 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 51 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 84 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 84 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 81 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 81 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 91 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 91 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 51 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 51 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 80 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 80 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 78 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 78 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 79 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 79 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 64 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 64 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 33 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 33 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 34 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 34 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 44 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 44 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 61 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 61 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 30 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 30 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 55 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 55 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 54 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 54 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 62 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 62 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 84 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 84 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 41 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 41 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 44 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 44 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 29 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 29 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 66 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 66 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 36 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 36 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 46 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 46 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 89 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 89 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 34 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 34 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 25 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 25 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 72 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 72 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 65 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 65 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 66 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 66 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 29 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 29 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 56 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 56 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 44 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 44 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 65 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 65 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 61 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 61 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 64 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 64 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 38 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 38 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 60 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 60 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 41 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 41 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 53 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 53 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 87 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 87 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 65 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 65 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 89 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 89 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 57 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 57 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 69 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 69 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 39 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 39 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 30 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 30 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 94 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 94 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 65 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 65 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 48 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 48 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 73 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 73 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 57 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 57 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 24 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 24 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 83 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 83 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 73 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 73 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 90 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 90 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 20 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 20 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 21 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 21 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 89 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 89 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 60 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 60 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 36 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 36 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 88 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 88 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 65 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 65 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 26 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 26 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 81 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 81 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 48 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 48 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 97 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 97 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 71 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 71 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 56 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 56 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 66 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 66 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 88 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 88 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 72 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 72 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 38 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 38 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 84 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 84 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 21 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 21 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 51 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 51 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 57 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 57 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 79 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 79 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 28 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 28 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 50 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 50 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 65 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 65 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 49 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 49 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 74 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 74 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 81 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 81 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 57 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 57 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 27 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 27 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 99 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 99 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 44 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 44 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 90 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 90 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 24 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 24 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 36 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 36 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 83 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 83 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 72 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 72 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 79 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 79 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 99 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 99 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 74 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 74 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 69 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 69 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 68 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 68 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 31 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 31 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 50 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 50 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 68 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 68 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 41 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 41 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 91 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 91 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 55 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 55 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 35 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 35 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 72 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 72 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 68 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 68 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 79 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 79 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 24 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 24 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 93 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 93 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 84 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 84 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 95 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 95 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 97 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 97 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 60 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 60 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 64 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 64 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 69 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 69 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 20 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 20 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 96 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 96 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 41 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 41 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 98 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 98 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 54 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 54 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 68 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 68 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 37 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 37 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 38 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 38 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 39 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 39 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 97 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 97 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 93 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 93 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 96 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 96 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 97 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 97 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 79 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 79 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 62 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 62 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 93 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 93 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 26 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 26 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 26 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 26 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 26 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 26 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 26 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 26 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 26 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 26 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 26 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 26 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 26 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 26 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 26 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 26 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 26 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 26 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 26 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 26 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 72 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 72 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 39 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 39 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 94 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 94 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 70 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 70 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 59 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 59 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 30 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 30 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 49 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 49 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 32 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 32 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 44 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 44 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 65 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 65 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 35 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 35 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 67 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 67 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 22 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 22 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 89 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 89 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 78 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 78 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 54 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 54 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 44 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 44 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 59 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 59 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 30 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 30 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 51 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 51 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 47 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 47 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 57 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 57 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 37 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 37 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 48 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 48 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 47 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 47 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 70 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 70 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 77 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 77 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 65 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 65 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 80 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 80 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 24 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 24 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 30 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 30 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 74 %, Pressure = 0 hPa
Temp = 0 °C, Humidity = 74 %, Pressure = 0 hPa
Temp = 36 °C, Humidity = 86 %, Pressure = 0 hPa
Temp = 44 °C, Humidity = 86 %, Pressure = 0 hPa
Temp = 27 °C, Humidity = 51 %, Pressure = 0 hPa
Temp = 20 °C, Humidity = 51 %, Pressure = 0 hPa
Temp = 21 °C, Humidity = 25 %, Pressure = 0 hPa
Temp = 32 °C, Humidity = 25 %, Pressure = 0 hPa
Temp = 43 °C, Humidity = 47 %, Pressure = 0 hPa
Temp = 41 °C, Humidity = 47 %, Pressure = 0 hPa
Temp = 18 °C, Humidity = 92 %, Pressure = 0 hPa
Temp = 20 °C, Humidity = 92 %, Pressure = 0 hPa
Temp = 36 °C, Humidity = 26 %, Pressure = 0 hPa
Temp = 16 °C, Humidity = 26 %, Pressure = 0 hPa
Temp = 35 °C, Humidity = 54 %, Pressure = 0 hPa
Temp = 15 °C, Humidity = 54 %, Pressure = 0 hPa
Temp = 27 °C, Humidity = 65 %, Pressure = 0 hPa
Temp = 20 °C, Humidity = 65 %, Pressure = 0 hPa
Temp = 33 °C, Humidity = 70 %, Pressure = 0 hPa
Temp = 26 °C, Humidity = 70 %, Pressure = 0 hPa
Temp = 45 °C, Humidity = 70 %, Pressure = 0 hPa
